,Trained-Tested,Accuracy,Precision,Recall,F1-Score
0,DE-DE,-,-,-,-
1,DE-EN,0.56286836935167,0.5952548926589774,0.56286836935167,0.5511200497853775
2,DE-ES,0.705895008605852,0.678717978691455,0.705895008605852,0.6838415774491357
3,DE-FR,0.386658525415967,0.5745852403270474,0.386658525415967,0.2575004428764135
4,DE-PT,0.6501046025104602,0.5704978311829104,0.6501046025104602,0.5316024682461992
5,DE-RU,0.5735461801596351,0.672171506059991,0.5735461801596351,0.6026796460686593
6,EN-DE,0.6540324278795536,0.6540791860083839,0.6540324278795536,0.6090570562545184
7,EN-EN,-,-,-,-
8,EN-ES,0.6908347676419966,0.6173456308952702,0.6908347676419966,0.6174254455788366
9,EN-FR,0.4464967180583117,0.5580451918520689,0.4464967180583117,0.4177127051499851
10,EN-PT,0.6380753138075314,0.5337217713010564,0.6380753138075314,0.5306774799149663
11,EN-RU,0.6346636259977195,0.659374141828006,0.6346636259977195,0.6455821069727387
12,ES-DE,0.3954516740366393,0.3954516740366393,0.3954516740366393,0.22413105291709928
13,ES-EN,0.45439236598372157,0.45439236598372157,0.45439236598372157,0.2839294637312409
14,ES-ES,-,-,-,-
15,ES-FR,0.6312013433063655,0.6312013433063655,0.6312013433063655,0.4884928981044023
16,ES-PT,0.6542887029288703,0.6542887029288703,0.6542887029288703,0.5175562234359891
17,ES-RU,0.7548460661345496,0.7548460661345496,0.7548460661345496,0.6493932368824845
18,FR-DE,0.3954516740366393,0.3954516740366393,0.3954516740366393,0.22413105291709928
19,FR-EN,0.45439236598372157,0.45439236598372157,0.45439236598372157,0.2839294637312409
20,FR-ES,0.7074010327022375,0.7074010327022375,0.7074010327022375,0.5861730331464106
21,FR-FR,-,-,-,-
22,FR-PT,0.6542887029288703,0.6542887029288703,0.6542887029288703,0.5175562234359891
23,FR-RU,0.7548460661345496,0.7548460661345496,0.7548460661345496,0.6493932368824845
24,PT-DE,0.3954516740366393,0.3954516740366393,0.3954516740366393,0.22413105291709928
25,PT-EN,0.45439236598372157,0.45439236598372157,0.45439236598372157,0.2839294637312409
26,PT-ES,0.7074010327022375,0.7074010327022375,0.7074010327022375,0.5861730331464106
27,PT-FR,0.6312013433063655,0.6312013433063655,0.6312013433063655,0.4884928981044023
28,PT-PT,-,-,-,-
29,PT-RU,0.7548460661345496,0.7548460661345496,0.7548460661345496,0.6493932368824845
30,RU-DE,0.3954516740366393,0.3954516740366393,0.3954516740366393,0.22413105291709928
31,RU-EN,0.45439236598372157,0.45439236598372157,0.45439236598372157,0.2839294637312409
32,RU-ES,0.7074010327022375,0.7074010327022375,0.7074010327022375,0.5861730331464106
33,RU-FR,0.6312013433063655,0.6312013433063655,0.6312013433063655,0.4884928981044023
34,RU-PT,0.6542887029288703,0.6542887029288703,0.6542887029288703,0.5175562234359891
35,RU-RU,-,-,-,-
